ITEM: TIMESTEP
1000
ITEM: NUMBER OF ATOMS
10000
ITEM: BOX BOUNDS pp pp pp
-5.0000000000000000e+01 5.0000000000000000e+01
-5.0000000000000000e+01 5.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ATOMS x y
49.986 49.8496
-49.0105 -49.9202
-47.9843 49.7834
-46.9845 -49.9835
-45.9963 49.8258
-44.9938 49.9771
-43.9787 49.9032
-42.9635 -49.9167
-41.9616 49.9533
-40.9457 49.8132
-39.9334 -49.8894
-38.9648 49.7939
-38.0282 -49.7848
-37.1074 49.7926
-36.0617 -49.9642
-34.9806 -49.7969
-34.0281 49.7738
-33.093 -49.8335
-32.0958 49.9422
-31.088 49.8102
-30.0936 49.9812
-29.0722 -49.9442
-28.071 49.9861
-27.0376 49.8905
-26.0377 49.8991
-25.037 -49.9502
-24.0482 49.8899
-23.046 -49.9234
-22.0113 -49.984
-21.0277 49.7497
-20.0434 -49.9448
-19.0457 49.8555
-18.0099 49.9474
-17 -49.8833
-16.0358 49.8488
-15.0252 -49.8931
-14.002 49.9515
-12.9772 50.0004
-11.9639 49.9584
-10.964 49.9652
-9.93962 -49.9352
-8.89875 49.8999
-7.97058 -49.6847
-7.02599 49.8466
-6.00643 49.9518
-5.00853 -49.9267
-4.03287 49.8336
-3.01077 -49.9351
-1.98683 49.844
-0.985628 -49.8146
-0.0377238 49.8411
0.933142 -49.893
1.9893 49.8657
2.95349 -49.8482
3.95845 49.8577
4.94527 -49.9641
5.96157 -49.9391
6.93549 49.8327
7.9422 -49.8388
8.92879 49.8289
9.94093 -49.9279
10.9324 49.8668
11.9384 -49.7698
12.8376 49.7372
13.9379 -49.8591
14.9141 49.8441
15.9057 -49.9941
16.9238 49.8905
17.9809 49.8618
18.9158 -49.79
19.8725 49.9098
20.9179 49.8853
22.047 49.8616
23.008 -49.8578
24.0226 49.7882
24.9751 -49.8897
25.9777 49.8012
26.9401 -49.8052
27.9117 49.9214
28.9661 49.9393
30.0242 -49.9802
31.0332 49.8082
32.0304 -49.8887
32.9714 49.7729
34.0205 49.8681
35.1131 -49.8388
36.0455 49.7903
37.0392 -49.9589
38.0264 49.8199
39.082 -49.8527
40.0105 49.778
40.9828 -49.8257
41.9277 49.8511
42.9186 -49.9964
43.9707 49.9313
44.9831 49.9198
46.0109 49.8324
46.9943 -49.8696
48.0264 49.7673
48.9892 -49.9404
-49.9246 -49.07
-48.9364 -48.9147
-47.8351 -49.2189
-46.8337 -48.9658
-45.8538 -49.183
-44.8636 -49.0306
-43.8275 -49.0725
-42.8363 -48.9186
-41.8397 -49.0531
-40.8352 -49.1912
-39.8145 -48.8812
-38.8487 -49.2096
-37.9228 -48.7869
-36.9763 -49.2142
-35.8859 -48.9642
-34.8991 -48.7859
-33.9424 -49.2312
-32.9787 -48.8356
-32.0014 -49.0452
-30.9704 -49.1651
-29.9842 -49.0009
-28.9795 -48.9334
-27.9728 -49.0079
-26.9355 -49.1142
-25.9243 -49.0959
-24.9084 -48.9393
-23.9117 -49.1148
-22.9204 -48.9307
-21.8541 -48.984
-20.8882 -49.2507
-19.9154 -48.9069
-18.9403 -49.1348
-17.9168 -49.0558
-16.9271 -48.8783
-15.9061 -49.1557
-14.9238 -48.8791
-13.8985 -49.0424
-12.8971 -48.9876
-11.8916 -49.035
-10.8555 -49.0393
-9.85381 -48.9366
-8.86423 -49.1
-7.92742 -48.6845
-6.92697 -49.1428
-5.90915 -49.0414
-4.85659 -48.9319
-3.85368 -49.1617
-2.86634 -48.9149
-1.83008 -49.1573
-0.86905 -48.8108
0.102214 -49.166
1.09286 -48.8987
2.10694 -49.1314
3.1621 -48.8628
4.16037 -49.1366
5.17074 -48.9897
6.18169 -48.9554
7.16346 -49.1749
8.12892 -48.8354
9.14202 -49.1923
10.1282 -48.9186
11.1768 -49.1237
12.123 -48.7824
13.1043 -49.2513
14.1183 -48.8484
15.0759 -49.1371
16.0856 -48.979
17.1258 -49.0804
18.1501 -49.1503
19.153 -48.7792
20.1119 -49.1146
21.1305 -49.1357
22.1424 -49.1343
23.1047 -48.8511
24.1514 -49.2154
25.134 -48.899
26.0963 -49.2038
27.0553 -48.8005
28.0862 -49.0714
29.0942 -49.04
30.1292 -48.9464
31.1129 -49.1564
32.2238 -48.8704
33.1798 -49.1908
34.192 -49.1364
35.1258 -48.7793
36.1081 -49.1947
37.1428 -48.9647
38.1586 -49.1397
39.1363 -48.8348
40.1697 -49.22
41.1204 -48.7854
42.0619 -49.1206
43.0559 -49.0019
44.0566 -49.0581
45.0817 -49.0785
46.0902 -49.1624
47.1533 -48.8798
48.0908 -49.2304
49.0711 -48.9223
-49.9366 -48.0605
-48.9352 -47.8844
-47.9919 -48.2248
-47.0191 -47.9298
-45.9855 -48.1889
-44.9906 -48.0163
-43.9853 -48.08
-42.9437 -47.9152
-41.9374 -48.0471
-40.8992 -48.1902
-39.8938 -47.8726
-38.9281 -48.2122
-37.9183 -47.7677
-37.0008 -48.1861
-36.0216 -47.9706
-34.9786 -47.7758
-34.0371 -48.221
-33.1042 -47.8143
-32.0917 -48.0435
-31.0633 -48.1236
-30.0662 -47.9904
-29.0425 -47.9197
